show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,country_new,director_new,cast_new
249,249,249,249,249,249,249,249,249,249,249,249,249,249,249
137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
27,27,27,0,27,27,27,27,27,27,27,27,27,0,27
26,26,26,4,26,26,26,26,26,26,26,26,26,4,26
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
25,25,25,0,25,25,25,25,25,25,25,25,25,0,25
13,13,13,13,10,13,13,13,13,13,13,13,13,13,10
4,4,4,0,3,4,4,4,4,4,4,4,4,0,3
167,167,167,167,167,167,167,167,167,167,167,167,167,167,167
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
221,221,221,221,219,221,221,221,221,221,221,221,221,221,219
110,110,110,0,108,110,110,110,110,110,110,110,110,0,108
54,54,54,0,54,54,54,54,54,54,54,54,54,0,54
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
9,9,9,4,9,9,9,9,9,9,9,9,9,4,9
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,8,8,0,8,8,8,8,8,8,8,8,8,0,8
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
12,12,12,0,12,12,12,12,12,12,12,12,12,0,12
10,10,10,0,10,10,10,10,10,10,10,10,10,0,10
71,71,71,0,71,71,71,71,71,71,71,71,71,0,71
113,113,113,0,112,113,113,113,113,113,113,113,113,0,112
30,30,30,0,30,30,30,30,30,30,30,30,30,0,30
27,27,27,0,27,27,27,27,27,27,27,27,27,0,27
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
